,Team,Matchups Score,League,Color,Week
214,G-Town DownTowners,54.0,C,"rgb(202,41,0)",20
215,Kobe Wan Kenobi,51.0,F,"rgb(205,39,0)",20
216,Bird Sprog,49.0,K,"rgb(207,37,0)",20
217,Fox Force 5,47.0,J,"rgb(209,36,0)",20
218,Plumlees Crack,47.0,B,"rgb(209,36,0)",20
219,Team Mercer,46.5,M,"rgb(210,36,0)",20
220,Team Becks,46.0,G,"rgb(210,35,0)",20
221,Flex n Affect,44.5,E,"rgb(212,34,0)",20
222,Joe Hablo Ingles,44.0,K,"rgb(212,34,0)",20
223,James and the Giant Overreach,40.5,H,"rgb(215,31,0)",20
224,Wandering Bears,40.0,D,"rgb(216,31,0)",20
225,The Mighty Bears,39.5,D,"rgb(216,30,0)",20
226,Minnesota  Lumberjacks,39.0,A,"rgb(217,30,0)",20
227,The Blue Mountain Goats,33.5,C,"rgb(222,25,0)",20
228,Insert Team Name Here,32.0,K,"rgb(224,24,0)",20
229,LaMarc Gasoldridge,31.0,K,"rgb(225,24,0)",20
230,Hard Solo,30.5,B,"rgb(225,23,0)",20
231,Josh Kiddey,30.5,D,"rgb(225,23,0)",20
232,Los Angeles Ballerz,29.5,F,"rgb(226,22,0)",20
233,Sideline Out of Bounds,29.0,K,"rgb(227,22,0)",20
234,DY PJ  Birch,28.5,E,"rgb(227,22,0)",20
235,ChixnGrog,27.5,D,"rgb(228,21,0)",20
236,Allen In Shorts,25.0,F,"rgb(231,19,0)",20
237,Zions Illegitimate Child,25.0,B,"rgb(231,19,0)",20
238,The Bricks,24.5,G,"rgb(231,18,0)",20
239,Sleepers,22.5,J,"rgb(233,17,0)",20
240,pingu123,22.0,J,"rgb(234,17,0)",20
241,Harrison the league,21.0,F,"rgb(235,16,0)",20
242,Darwin Esky,19.0,L,"rgb(237,14,0)",20
243,Down Right Sneaky,17.0,J,"rgb(239,13,0)",20
244,Its on like  Doncic Kong,16.5,H,"rgb(239,12,0)",20
245,Livin' La Vida Luka,16.0,E,"rgb(240,12,0)",20
246,Bames Jond,15.0,L,"rgb(241,11,0)",20
247,Round Mound of Rebound,13.0,J,"rgb(243,10,0)",20
248,Team Ashton,12.0,L,"rgb(244,9,0)",20
249,FrostyFlyers,11.5,F,"rgb(244,8,0)",20
250,Gaza Gunners,10.5,C,"rgb(245,8,0)",20
251,punting  everything,9.5,G,"rgb(246,7,0)",20
252,The Chet Code,8.5,M,"rgb(247,6,0)",20
253,Ben Simmons For 3,7.0,M,"rgb(249,5,0)",20
254,FIGJAM,7.0,L,"rgb(249,5,0)",20
255,Splash Bros 3011,5.5,G,"rgb(250,4,0)",20
256,Seattle Superchronics,5.0,G,"rgb(251,3,0)",20
257,Champ is here,4.5,E,"rgb(251,3,0)",20
258,Seattle SuperChronics,4.5,H,"rgb(251,3,0)",20
259,The Book of  Irving,0.0,I,"rgb(255,0,0)",20
